"Analyze-25 Year	",,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,
"Query : (ALL(""Eco-Driving"" OR ""Eco Driving"" OR ""energy optimal vehicles"" OR ""fuel optimal vehicles"") AND PUBYEAR > 2000 AND PUBYEAR < 2026)	",,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,
"Number of results : 25 years (2001-2025)	",,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,
"YEAR	",Number of Publications,,,,,,,,,,,,,,,,
2025,"	364",,,,,,,,,,,,,,,,
2024,"	1519",,,,,,,,,,,,,,,,
2023,"	1310",,,,,,,,,,,,,,,,
2022,"	1049",,,,,,,,,,,,,,,,
2021,"	844",,,,,,,,,,,,,,,,
2020,"	639",,,,,,,,,,,,,,,,
2019,"	597",,,,,,,,,,,,,,,,
2018,"	464",,,,,,,,,,,,,,,,
2017,"	324",,,,,,,,,,,,,,,,
2016,"	273",,,,,,,,,,,,,,,,
2015,"	226",,,,,,,,,,,,,,,,
2014,"	177",,,,,,,,,,,,,,,,
2013,"	133",,,,,,,,,,,,,,,,
2012,"	121",,,,,,,,,,,,,,,,
2011,"	58",,,,,,,,,,,,,,,,
2010,"	44",,,,,,,,,,,,,,,,
2009,"	25",,,,,,,,,,,,,,,,
2008,"	14",,,,,,,,,,,,,,,,
2007,"	11",,,,,,,,,,,,,,,,
2006,"	1",,,,,,,,,,,,,,,,
2005,"	0",,,,,,,,,,,,,,,,
2004,"	0",,,,,,,,,,,,,,,,
2003,"	0",,,,,,,,,,,,,,,,
2002,"	0",,,,,,,,,,,,,,,,
2001,"	1",,,,,,,,,,,,,,,,
Total,8194,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Document Type,Publication Stage,Open Access,EID
Schmidt W.-P.,"Schmidt, Wulf-Peter (7404056287)",7404056287,Strategies for Environmentally Sustainable Products and Services,2001,Corporate Environmental Strategy,8,2,,118,125,7,17,10.1016/S1066-7938(01)00093-8,Article,Final,,2-s2.0-0012707212
Fujii O.; Shimizu H.,"Fujii, Osamu (57213304986); Shimizu, Hiroshi (9233773400)",57213304986; 9233773400,Tunnel slip stream and super eco-driving solar train-hybrid truck system,2006,"22nd International Battery, Hybrid and Fuel Cell Electric Vehicle Symposium and Exposition, EVS 2006",,,,946,956,10,0,,Conference paper,Final,,2-s2.0-84880452739
Takada Y.; Ueki S.; Saito A.; Sawazu N.; Nagatomi Y.,"Takada, Yutaka (8702956400); Ueki, Shigeru (14030892700); Saito, Akira (14030611000); Sawazu, Naoya (35754834900); Nagatomi, Yayoi (55689231500)",8702956400; 14030892700; 14030611000; 35754834900; 55689231500,Improvement of fuel economy by eco-driving with devices for freight vehicles in real traffic conditions,2007,SAE Technical Papers,,,,,,,14,10.4271/2007-01-1323,Conference paper,Final,,2-s2.0-84978901714
Af Wåhlberg A.E.; Göthe J.,"Af Wåhlberg, A.E. (6602252510); Göthe, J. (6506228038)",6602252510; 6506228038,Fuel wasting behaviors of truck drivers,2007,Industrial Psychology Research Trends,,,,73,87,14,4,,Book chapter,Final,,2-s2.0-84866117561
Kunihiro Y.; Hasunuma S.,"Kunihiro, Yui (55753643700); Hasunuma, Shigeru (55754028500)",55753643700; 55754028500,Latest trends in car navigation and telematics services in Japan,2007,"14th World Congress on Intelligent Transport Systems, ITS 2007",4,,,2544,2551,7,0,,Conference paper,Final,,2-s2.0-84893707022
Pace T.; Ramalingam S.; Roedl D.,"Pace, Tyler (22836062200); Ramalingam, Shruti (22836583600); Roedl, David (22836492800)",22836062200; 22836583600; 22836492800,Celerometer and idling reminder: Persuasive technology for school bus eco-driving,2007,Conference on Human Factors in Computing Systems - Proceedings,,,,2085,2090,5,13,10.1145/1240866.1240954,Conference paper,Final,,2-s2.0-35348928163
Kobayashi I.; Tsubota Y.; Kawashima H.,"Kobayashi, I. (57205782680); Tsubota, Y. (7003883217); Kawashima, H. (7202656154)",57205782680; 7003883217; 7202656154,Eco-driving simulation: Evaluation of eco-driving within a network using traffic simulation,2007,WIT Transactions on the Built Environment,96,,,741,750,9,13,10.2495/UT070701,Conference paper,Final,All Open Access; Bronze Open Access,2-s2.0-38849157787
,,,News: Downstream: Eco driving to help stop global warming,2007,Petroleum Review,61,729,,8,,,0,,Note,Final,,2-s2.0-35448990963
Stromberger R.; Kluge J.,"Stromberger, Rolf (53876626800); Kluge, Juliane (36707807600)",53876626800; 36707807600,Reducing CO2 from traffic - Everyone must contribute,2007,AutoTechnology,7,APR.,,28,31,3,0,,Article,Final,,2-s2.0-34249651963
Barbé J.; Boy G.; Sans M.,"Barbé, Jérôme (55802659300); Boy, Guy (6603717509); Sans, Mariano (55690991800)",55802659300; 6603717509; 55690991800,Gerico: A human centred eco-driving system,2007,IFAC Proceedings Volumes (IFAC-PapersOnline),10,PART 1,,292,297,5,11,10.3182/20070904-3-kr-2922.00051,Conference paper,Final,All Open Access; Bronze Open Access,2-s2.0-79961084411
